"","year","state","median_hh_income","poverty_rate","total_pop","uninsured_rate","no_hsd_rate","bach_plus_rate","gdp_pc","unemployment"
"1",1992,"United States",30636,14.8159986279317,256547,NA,NA,NA,25418.99078,7.50400062448773
"2",1993,"United States",31241,15.1431469575245,259279,NA,NA,NA,26387.29373,6.91950464396285
"3",1994,"United States",32264,14.5483665052348,261617,NA,NA,NA,27694.85342,6.10120864363326
"4",1995,"United States",34076,13.811695919737,263733,NA,NA,NA,28690.8757,5.59620268472609
"5",1996,"United States",35492,13.7209826459319,266220,NA,NA,NA,29967.71272,5.40229799242962
"6",1997,"United States",37005,13.2496778182522,268482,NA,NA,NA,31459.139,4.9443494721087
"7",1998,"United States",38885,12.7183112101469,271058,NA,NA,NA,32853.67698,4.51068837026868
"8",1999,"United States",40696,11.8714881538551,276208,13.6204679123134,NA,NA,34513.5615,4.21904597899087
"9",2000,"United States",41990,11.3223036799369,278945,13.0890071086911,NA,NA,36334.90878,3.99206076460728
"10",2001,"United States",42228,11.691499868551,281478,13.4794137874802,NA,NA,37133.24281,4.73165708878901
"11",2002,"United States",42409,12.1151689331277,285320,13.9109511668818,NA,NA,38023.16111,5.78339534594755
"12",2003,"United States",43318,12.4642859625585,287702,14.5514777299847,16.5265988885508,18.4036120349872,39496.48588,5.98866971537779
"13",2004,"United States",44334,12.7461168422719,290614,14.3395863528022,16.1561676148189,18.7657832662689,41712.80107,5.52845638767715
"14",2005,"United States",46326,12.6058389678441,293134,14.6460246261495,16.1316912002088,18.8019892432496,44114.74778,5.08371283150281
"15",2006,"United States",48201,12.2989529360967,296448,15.2325957469746,15.9824935167476,19.0818625482415,46298.73144,4.6233193332805
"16",2007,"United States",50233,12.4789924406264,298702,14.7399249764298,15.7564752176374,19.6426165000135,47975.96768,4.62239753402471
"17",2008,"United States",50303,13.2306680441,301043,14.8532421396895,15.0715799749921,20.2235996603211,48382.55845,5.78402587385846
"18",2009,"United States",49777,14.3417154894345,303820,16.0986591297489,14.8582175446045,20.3696394158211,47099.98047,9.25445368556266
"19",2010,"United States",49276,15.138438822976,306128,16.2944091233816,14.4695675036151,20.5619823846457,48467.51578,9.63356705157614
"20",2011,"United States",50054,14.993062219571,308456,15.7411754801232,14.371087544405,21.0022410480406,49886.81811,8.94887935580046
"21",2012,"United States",51017,14.9670528474259,310649,15.4125792308978,14.1010986733673,21.4411304711052,51610.60528,8.0696886594612
"22",2013,"United States",53585,14.7771152255357,313099,13.3866207182629,13.655035420872,22.033903752941,53117.66783,7.37503941720456
"23",2014,"United States",53657,14.7740370609619,315804,10.4273677285494,13.3210823020453,22.5817772290337,55047.72556,6.16782750349534
"24",2015,"United States",56516,13.5416732086895,318454,9.08400968425806,13.3489157663015,22.8429189544799,56822.51882,5.27970470311207
"25",2016,"United States",59039,12.6963039835955,319912,8.75607106738417,12.9611626127426,23.5705683856643,57927.51685,4.86911619667435
"26",2017,"United States",61136,12.2651512333048,322548,8.83257621705925,12.4339829947686,24.1893798459291,59957.72585,4.35503992015968
"27",2018,"United States",63179,11.7777839535336,323847,8.47505727460358,12.2628080555521,24.886432558888,62886.83648,3.89572728674996
"28",2019,"United States",NA,NA,NA,NA,NA,NA,NA,3.66946110713652
"29",2020,"United States",NA,NA,NA,NA,NA,NA,NA,NA
